location_name,cluster,air_quality_PM2.5,temperature_celsius,air_quality_us-epa-index,uv_index
Bangkok,3,33.121844207723036,20.0,1.0,3.0
Bangkok,0,33.121844207723036,20.0,1.0,3.0
Bangui,0,26.7413648472518,20.0,1.0,3.0
Bangui,1,26.7413648472518,20.0,1.0,3.0
Banjul,1,32.41164438706668,20.0,1.0,3.0
Banjul,0,32.41164438706668,20.0,1.0,3.0
Basseterre,1,8.932518667175293,20.0,1.0,3.0
Basseterre,0,8.932518667175293,20.0,1.0,3.0
Beijing,3,127.84330440689311,20.0,1.0,3.0
Beijing,3,127.84330440689311,20.0,1.0,3.0
Beijing Shi,3,54.9,20.0,1.0,3.0
Beirut,5,28.97564494680851,20.0,1.0,3.0
Beirut,2,28.97564494680851,20.0,1.0,3.0
Beirut,2,28.97564494680851,20.0,1.0,3.0
